# Revit Export Layers
# Maps Categories and Subcategories to layer names and color numbers
# Category <tab> Subcategory <tab> Layer name <tab> Color number <tab>
# Cut layer name <tab> Cut color number
# Do not remove the colon (:) after certain category names.
# -----------------------------------------------------
Air Terminals		IfcAirTerminal			
Sections		Not Exported			
Security Devices		IfcBuildingElementProxy			
Shaft Openings		Not Exported			
Shaft Openings	Hidden Lines	Not Exported			
Shear Stud Tags		Not Exported			
Site		IfcSite			
Site	Hidden Lines	IfcSite			
Site	Logistics	IfcSite			
Site	Pads	IfcSlab			
Site	Project Base Point	IfcSite			
Site	Property	IfcBuildingElementProxy			
Site	Property Lines	IfcSite			
Site	Survey Point	IfcSite			
Site	Utilities	IfcSite			
Site Tags		Not Exported			
Spaces		IfcSpace			
Spaces	Color Fill	IfcSpace			
Spaces	Interior	IfcSpace			
Spaces	Reference	IfcSpace			
Specialty Equipment		IfcBuildingElementProxy			
Specialty Equipment	Hidden Lines	IfcBuildingElementProxy			
Specialty Equipment Tags		Not Exported			
Spot Coordinates		Not Exported			
Spot Elevations		Not Exported			
Spot Slopes		Not Exported			
Sprinklers		IfcFireSuppressionTerminalType			
Stair Landing Tags		Not Exported			
Stair Paths		Not Exported			
Stair Paths	<Above> Up Arrows				
Stair Paths	Down Arrows				
Stair Paths	DOWN Text				
Stair Paths	Up Arrows				
Stair Paths	UP Text				
Stair Run Tags		Not Exported			
Stair Support Tags		Not Exported			
Stair Tags		Not Exported			
Stair Tread/Riser Numbers		Not Exported			
Stairs		IfcStair			
Stairs	<Above> Cut Marks	IfcStair			
Stairs	<Above> Nosing Lines	IfcStair			
Stairs	<Above> Outlines	IfcStair			
Stairs	<Above> Riser Lines	IfcStair			
Stairs	<Above> Supports	IfcStair			
Stairs	Cut Marks	IfcStair			
Stairs	Hidden Lines	IfcStair			
Stairs	Incomplete Stairs	IfcStair			
Stairs	Nosing Lines	IfcStair			
Stairs	Outlines	IfcStair			
Stairs	Riser Lines	IfcStair			
Stairs	Supports	IfcStair			
Stairs	Treads/Risers	IfcStair			
Structural Area Reinforcement		IfcReinforcingBar			
Structural Area Reinforcement	Boundary	IfcReinforcingBar			
Structural Beam Systems		IfcAssembly	BEAMSYSTEM		
Structural Column Tags		Not Exported			
Structural Columns		IfcColumn			
Structural Columns	Hidden Faces	IfcColumn			
Structural Columns	Hidden Lines	IfcColumn			
Structural Columns	Location Lines	IfcColumn			
Structural Columns	Rigid Links	IfcColumn			
Structural Columns	Stick Symbols	IfcColumn			
Structural Connections		IfcMechanicalFastener			
Structural Connections	Anchors	IfcMechanicalFastener			
Structural Connections	Bolts	IfcMechanicalFastener			
Structural Connections	Hidden Lines	Not Exported			
Structural Connections	Holes	IfcOpeningElement			
Structural Connections	Modifiers	Not Exported			
Structural Connections	Others	Not Exported			
Structural Connections	Plates	IfcPlate			
Structural Connections	Profiles	Not Exported			
